Date: <<2012/12/02 12:40:17>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:40:17>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:40:18>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:40:18>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:41:29>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:41:29>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:43:48>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:43:48>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:50:38>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:50:38>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:00:11>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:00:11>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:01:43>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:01:43>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:01:48>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:01:48>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:01:52>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:01:52>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:02:49>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:02:49>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:03:33>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:03:33>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:04:20>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:04:20>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:05:45>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:05:45>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:05:49>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:05:49>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:08:19>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:08:19>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:09:45>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:09:45>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:09:49>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:09:49>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:09:51>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:09:51>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:06>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:06>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:30>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:30>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:34>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:34>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:37>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:37>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:41>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:41>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:43>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:13:43>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:14:11>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:14:11>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:14:13>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:14:13>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:14:16>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:14:16>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:14:18>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:14:18>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:14:55>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:14:55>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 13:15:08>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
